"","ecode","onscode","authority","region","class","tstb2223","tstb2324","avebandd_expp2223","avebandd_expp2324"
"264","E1139","E07000046","Torridge","SW","SD",24447.08,24749.9,178.66,184
"265","E5020","E09000030","Tower Hamlets","L","ILB",108213.3,112950.4,1124.39,1146.88
"266","E4209","E08000009","Trafford","NW","MD",77601.0294,78464,1453.01,1525.51
"267","E2244","E07000116","Tunbridge Wells","SE","SD",46479.615,47402.1,193.75,199.46
"268","E1544","E07000077","Uttlesford","E","SD",38435.728,39007.2,166.61,171.61
"269","E3134","E07000180","Vale of White Horse","SE","SD",55362.802,56664.9,146.69,151.69
"270","E4705","E08000036","Wakefield","YH","MD",104633,105564,1556.84,1634.53
"271","E4606","E08000030","Walsall","WM","MD",71803.4,72608.7,1927.84,1985.48
"272","E5049","E09000031","Waltham Forest","L","OLB",78615,80121,1544.35,1621.41
"273","E5021","E09000032","Wandsworth","L","ILB",138028.2,141014.6,476.96,487.17
"274","E0602","E06000007","Warrington","NW","UA",69538,70592,1614.39,1694.79
"275","E3735","E07000222","Warwick","WM","SD",56399.5,57669.6,176.86,176.86
"276","E1939","E07000103","Watford","E","SD",33891.2568,35532.1,282.41,290.85
"277","E3640","E07000216","Waverley","SE","SD",56487.298,57369.3,195.79,201.64
"278","E1437","E07000065","Wealden","SE","SD",67187.9335,67793.2,202.44,208.49
"279","E1940","E07000241","Welwyn Hatfield","E","SD",43497.6388,43867,224.1,230.76
"280","E0302","E06000037","West Berkshire","SE","UA",66310.2,67392.5,1660.26,1743.11
"281","E1140","E07000047","West Devon","SW","SD",20687.8,21225.9,246.63,254
"282","E2343","E07000127","West Lancashire","NW","SD",37669.7,38095.8,218.39,224.92
"283","E2537","E07000142","West Lindsey","EM","SD",31038.5,31696.8,227.74,234.54
"284","E2802","E06000062","West Northamptonshire","EM","UA",139604,142060.8,1613.23,1693.73
"285","E3135","E07000181","West Oxfordshire","SE","SD",46172.4465,47078.8,114.38,119.38
"286","E3539","E07000245","West Suffolk","E","SD",57406.3,57987,187.11,192.06
"287","E5022","E09000033","Westminster","L","ILB",135056.3,135955.4,468.96,478.37
"288","E0902","E06000064","Westmorland and Furness","NW","UA",86916.8899,87714.7,1658.15,1740.89
"289","E4210","E08000010","Wigan","NW","MD",94100,96500,1409.24,1479.56
"290","E3902","E06000054","Wiltshire","SW","UA",189964.3,193142.9,1638.16,1719.9
"291","E1743","E07000094","Winchester","SE","SD",51554.0966,52626.8,172.7,177.84
"292","E0305","E06000040","Windsor and Maidenhead","SE","UA",69736.2665,70250.2,1182.93,1241.6
"293","E4305","E08000015","Wirral","NW","MD",95172.38955,95585.1,1713,1798.48
"294","E3641","E07000217","Woking","SE","SD",41519,42611,255.46,263.12
"295","E0306","E06000041","Wokingham","SE","UA",74946.3,76247.1,1668.58,1751.84
"296","E4607","E08000031","Wolverhampton","WM","MD",64936.9,65994.1,1818.27,1909.01
"297","E1837","E07000237","Worcester","WM","SD",32528.195,32954,200.88,206.89
"298","E3837","E07000229","Worthing","SE","SD",39610.5,39364.6,252.36,259.92
"299","E1838","E07000238","Wychavon","WM","SD",52818.6,52435.5,121.45,121.59
"300","E2344","E07000128","Wyre","NW","SD",38004.5,38495.6,214.74,219.74
"301","E1839","E07000239","Wyre Forest","WM","SD",34219.9835,34738,229.34,236.21
