"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2017-18 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2016-17 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","12. Is the council tax your authority set subject to a referendum?","13. Are one or more precepting authorities in your area holding a referendum?","14. Average council tax of major precepting authorities in the billing authority's area","...31","...32","15. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 14(a) + 14(b) + 14(c))","16. All parishes that exist in the authority's area in 2016-17 (whether they set a precept or not)","...35","17. Charter Trustees in the authority's area - 2016-17","...37","18. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2016-17","...39"
"1",NA,NA,NA,NA,"2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18",NA,NA,NA,NA,NA,"County or GLA","Police","Fire",NA,"Number","CTB","Number","Tax Base","Number","Tax Base"
"295","E4606","Walsall","MD",NA,"100990893","108471439","0","0","100990893","108471439","12264058","11921816","68898.34","70628.52","98","97.8","0","0","67520.399999999994","69074.7","1495.71","1570.35","1495.71","1570.35","3099381",44.8699885775834,3,"No","No","0","116.55","57.14","1744.04","0","0","0","0","0","0"
"296","E5049","Waltham Forest","OLB",NA,"86128000","92784000","0","0","86128000","92784000","7819700","8435500","73725.31","75648.2","97.5","97.5","0","0","71882.2","73757","1198.18","1257.97","1198.18","1257.97","2651600",35.9504860555608,3,"No","No","280.02","0","0","1537.99","0","0","0","0","0","0"
"297","E5021","Wandsworth","ILB",NA,"50785654","53890000","0","0","50785654","53890000","5532727","5491088","129474.2","132122.70000000001","97","97","144","144","125734","128303","403.91","420.02","403.91","420.02","1036457",8.07819770387286,2,"No","No","280.02","0","0","700.04","0","0","0","0","0","0"
"298","E0602","Warrington","UA",NA,"83217047","89331321","1545377","1788222","81671670","87543099","0","0","65814.100000000006","67199","99","99","0","0","65156","66527","1277.2","1342.78","1253.48","1315.9","2501415",37.5999969937018,3,"No","No","0","164.44","73.290000000000006","1580.51","18","48836.3","0","0","17","48795.1"
"299","E3735","Warwick","SD",NA,"9184148","9680652.0800000001","1305773","1412612.08","7878375","8268040","0","0","52139.9","52974.53","99.5","99.5","0","0","51879.199999999997","52709.7","177.03","183.66","151.86000000000001","156.86000000000001","0",0,0,"No","No","1298.8800000000001","191.98","0","1674.5200000000002","36","52709.679999999986","0","0","25","52695.979999999989"
"300","E1939","Watford","SD",NA,"7823667","8170715","0","0","7823667","8170715","0","0","32283.200000000001","33053.699999999997","97","97","0","0","31314.7","32062.1","249.84","254.84","249.84","254.84","0",0,0,"No","No","1245.83","152","0","1652.6699999999998","0","0","0","0","0","0"
"301","E3537","Waveney","SD",NA,"6129310","7914660","734324","2306816","5394986","5607844","24457.59","24302.79","36016.480000000003","36260.300000000003","98.25","98.25","0","0","35386.199999999997","35625.699999999997","173.21","222.16","152.46","157.41","0",0,0,"No","No","1183.5","176.85","0","1582.51","59","35625.699999999997","0","0","40","35418.5"
"302","E3640","Waverley","SD",NA,"11716522","12199021","2762522","2926921","8954000","9272100","0","0","54187.8","54480.9","99","99","0","0","53645.9","53936.1","218.4","226.18","166.91","171.91","0",0,0,"No","No","1331.55","224.57","0","1782.3","21","53936.1","0","0","21","53936.1"
"303","E1437","Wealden","SD",NA,"17029840","17500424","5865140","5970624","11164700","11529800","70964","64007.59","63878.7","64159","98.5","98.5","0","0","62920.5","63196.6","270.66000000000003","276.92","177.44","182.44","0",0,0,"No","No","1314.36","153.91","88.4","1833.5900000000001","42","63196.6","0","0","41","63091.9"
"304","E2837","Wellingborough","SD",NA,"3678296","3865840","482903","501779","3195393","3364061","0","0","24032.799999999999","24410.400000000001","97.7","97.7","0","0","23480","23849","156.66","162.1","136.09","141.06","0",0,0,"No","No","1166.5899999999999","209.04","0","1537.7299999999998","18","9619","0","0","18","9619"
"305","E1940","Welwyn Hatfield","SD",NA,"9304185","9761918","1544088","1632156","7760097","8129762","0","0","40482.199999999997","41273.5","97.5","97.7","0","0","39470.1","40324.199999999997","235.73","242.09","196.61","201.61","0",0,0,"No","No","1245.83","152","0","1639.9199999999998","8","24024.400000000001","0","0","8","24024.400000000001"
"306","E0302","West Berkshire","UA",NA,"86142270","92437776","3860930","4071504","82281340","88366272","0","0","62506.400000000001","64161.919999999998","99.7","99.4","307.22000000000003","307.22000000000003","62626.1","64084.2","1375.5","1442.44","1313.85","1378.91","2525556",39.4099637664198,3,"No","No","0","170.28","62.49","1675.21","63","64084.2","0","0","56","63846.1"
"307","E1140","West Devon","SD",NA,"5440217","5642258","1229305","1285646","4210912","4356612","0","0","20321.669999999998","20544.62","97","97","21.4","20.5","19733.400000000001","19948.8","275.69","282.83999999999997","213.39","218.39","0",0,0,"No","No","1267.92","176.28","81.569999999999993","1808.61","46","19948.8","0","0","45","19889.45"
"308","E1237","West Dorset","SD",NA,"8993549","9491371","3484726","3725900","5508823","5765471","0","0","41716.1","42097.599999999999","98","98","0","0","40881.800000000003","41255.599999999999","219.99","230.06","134.75","139.75","0",0,0,"No","No","1326.87","194.58","70.59","1822.0999999999997","138","41255.599999999999","0","0","81","40896.5"
"309","E2343","West Lancashire","SD",NA,"6903270","7170048","549516","575383","6353754","6594665","0","0","34715.279999999999","35092.03","98","98","0","0","34021","34390.199999999997","202.91","208.49","186.76","191.76","0",0,0,"No","No","1221.74","165.45","65.5","1661.18","21","21679.4","0","0","21","21679.4"
"310","E2537","West Lindsey","SD",NA,"7278652","7695190","1610050","1867387","5668602","5827803","337900","343428","29241.69","29333.4","98.3","98.3","134.13999999999999","124.8","28878.7","28959.5","252.04","265.72000000000003","196.29","201.24","0",0,0,"No","No","1173.42","205.47","0","1644.6100000000001","128","28959.46","0","0","78","27640.92"
"311","E3135","West Oxfordshire","SD",NA,"6839092","7385412","3242905","3483742","3596187","3901670","0","0","41225.11","42275.4","98.5","98.5","905.3","939.44","41512","42580.7","164.75","173.45","86.63","91.63","0",0,0,"No","No","1345.59","170.28","0","1689.32","81","42580.7","0","0","61","41621.089999999997"
"312","E3335","West Somerset","SD",NA,"2890637","3064326","904471","953109","1986166","2111217","0","0","13687.3","14071.48","98.5","98.5","0","0","13482","13860.4","214.41","221.08","147.32","152.32","0",0,0,"No","No","1124.79","181.81","81.569999999999993","1609.2499999999998","42","13860.4","0","0","36","13624.8"
"313","E5022","Westminster","ILB",NA,"49204900","51821278","145151","155200","49059749","51666078","2607705","2609285.6","129931.1","131792.18","96","96","447.2","455.1","125181.1","126975.6","393.07","408.12","391.91","406.9","997345.63015799993",7.85462427551435,2,"No","No","280.02","0","0","688.14","1","3346.3","0","0","1","3346.3"
"314","E1238","Weymouth and Portland","SD",NA,"6015207","6191402","63679","76132","5951528","6115270","0","0","21311.8","21470.799999999999","96.5","96.5","2","2","20567.900000000001","20721.3","292.45999999999998","298.79000000000002","289.36","295.12","0",0,0,"No","No","1326.87","194.58","70.59","1890.8299999999997","1","3447.8","0","0","1","3447.8"
"315","E4210","Wigan","MD",NA,"104546981","110020470","68764","70764","104478217","109949706","22236076","22416000","86788.9","89578.57","99","98","0","0","85921","87787","1216.78","1253.27","1215.98","1252.46","3202417",36.4793989998519,3,"No","No","0","162.30000000000001","59.95","1475.52","2","3581","0","0","2","3581"
"316","E3902","Wiltshire","UA",NA,"240139687","254258094","15415782","16954101","224723905","237303993","0","0","172362","173325.59","99.75","99.75","4849.2","4912.8","176780.3","177805.1","1358.41","1429.98","1271.2","1334.63","6781485.75",38.1399957031604,3,"No","No","0","170.27","70.59","1670.84","252","177805.08","0","0","238","177081.76"
"317","E1743","Winchester","SD",NA,"9482869","10048204","2521258","2708208","6961611","7339996","0","0","47152.9","48067.43","98.6","98.7","342.4","351.76","46835.199999999997","47794.3","202.47","210.24","148.63999999999999","153.57","0",0,0,"No","No","1133.0999999999999","165.46","63.84","1572.6399999999999","47","34173.1","0","0","45","34056"
"318","E0305","Windsor and Maidenhead","UA",NA,"62011505","65447627","1236238","1309306","60775267","64138321","0","0","66026.759999999995","67044.87","99.5","99.5","0","0","65696.600000000006","66709.600000000006","943.91","981.08","925.09","961.46","1851000",27.7471308477341,3,"No","No","0","170.28","62.49","1213.8500000000001","15","32542.400000000001","0","0","14","32471.8"
