"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"227","E4304","Sefton","MD",NA,"127484658","133099091","1025973","1072507","126458685","132026584","33255297","34156310","84409.7","85566.7","98.25","98.25","7","8","82939.5","84077.3","1537.08","1583.06","1524.71","1570.3",0,"0","0","No","No","0","201.97","78.84","19","1882.87","10","23309.7","0","0","10","23309.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"228","E2757","Selby","SD",NA,"7202070","7435864","1798846","1840613","5403224","5595251","1684537","1703722.24","31246.3","31811.93","98.69","98.69","0","0","30837","31395.200000000001","233.55","236.85","175.22","178.22",0,"0","0","No","No","1311.16","255.77","71.27","0","1875.05","74","31395.200000000001","0","0","59","31010.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"229","E2239","Sevenoaks","SD",NA,"14647220","15331904","4227497","4415343","10419723","10916561","16443","16772","50188.1","51075.9","99.4","99.4","15.9","2.9","49902.9","50772.3","293.51","301.97000000000003","208.8","215.01",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1872.3000000000002","31","50772.3","0","0","31","50772.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"230","E4404","Sheffield","MD",NA,"206232546","216849597","504997","521473","205727549","216328124","23574295","22946027","142288.78760000001","145279","95.5","95.5","5","3","135890.79999999999","138744.4","1517.63","1562.94","1513.92","1559.18",0,"0","0","No","No","0","194.16","73.13","0","1830.23","3","18796.400000000001","0","0","3","18796.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"231","E3202","Shropshire","UA",NA,"153393357","162638182","7755095","8211338","145638262","154426844","0","0","110902.9","112868.4","97.8","98","632.6","629.1","109095.6","111240.1","1406.05","1462.05","1334.96","1388.23",1485055,"13.35","1.0000299634445975","No","No","0","216.66","100.25","0","1778.96","192","111240.1","0","0","157","110676.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"232","E0304","Slough","UA",NA,"55768279","58587652","197413","95011","55570866","58492641","0","0","42401.87","43485.569105691058","98.4","98.4","0","0","41723.4","42789.8","1336.62","1369.2","1331.89","1366.98",0,"0","0","No","No","0","206.28","66.28","0","1641.76","1","1923.3","0","0","1","1923.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"233","E4605","Solihull","MD",NA,"101590295","105861317","1324725","1365567","100265570","104495750","8566730","8559367","76887","77872.7","98.81","98.81","0","0","75972","76946","1337.21","1375.79","1319.77","1358.04",1015687,"13.2","1.0001742727899559","No","No","0","152.55000000000001","60.6","0","1588.9399999999998","16","27476","0","0","16","27476","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"234","E3336","Somerset West & Taunton (R)","SD",NA,"10459302","11157376","1782845","2072281","8676457","9085095","26360","28865","56317.270000000004","57381.8","0","98.5","101.7","101.7","55574.200000000004","56622.8","0","0","0","0",0,"0","0","No","No","1239.73","217.81","86.52","0","1741.11","92","41259.300000000003","0","0","78","40750.9","Apply to the increase in average Band D amonut across the predecessor areas","Taunton Deane","42360.4","0","0","0","0","0","West Somerset","14262.4","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0","Somerset West & Taunton","56622.8","197.05","160.44999999999999","0","0","0"
"235","E0434","South Bucks","SD",NA,"7629792","8076792","2462655","2667507","5167137","5409285","0","0","33262.6","33757.300000000003","98.25","98.25","22.9","19.3","32703.4","33185.800000000003","233.3","243.38","158","163",0,"0","0","No","No","1329.64","206.28","64.569999999999993","0","1843.87","12","33185.800000000003","0","0","12","33185.800000000003","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"236","E0536","South Cambridgeshire","SD",NA,"14013850","14710751","5397392","5617789","8616458","9092962","197700","201150","61698.2","62871.8","99.4","99.4","82.2","81.7","61410.2","62576.3","228.2","235.09","140.31","145.31",0,"0","0","No","No","1312.11","222.66","70.739999999999995","0","1840.6","102","62576.3","0","0","97","62345.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"237","E1039","South Derbyshire","SD",NA,"5941584","6203672","772513","798424","5169071","5405248","0","0","32794.9","33638.400000000001","99","99","0","0","32467","33302","183","186.29","159.21","162.31",0,"0","0","No","No","1322.88","216.6","76.22","0","1801.99","50","24007","0","0","31","22810","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"238","E0103","South Gloucestershire","UA",NA,"140578304","147761953","7090304","7345953","133488000","140416000","604435","644430","93738.827000000005","95748.627000000008","98.5","98.5","298.2","298.2","92630.9","94610.6","1517.62","1561.79","1441.07","1484.15",0,"0","0","No","No","0","217.81","73.48","0","1853.08","47","82639.100000000006","0","0","47","82639.100000000006","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"239","E1136","South Hams","SD",NA,"8268789","8779531","2196582","2463842","6072207","6315689","0","0","38554.6","38888.18","98","98","68.400000000000006","69.3","37851.9","38179.699999999997","218.45","229.95","160.41999999999999","165.42",0,"0","0","No","No","1384.29","212.28","86.52","0","1913.04","61","38179.699999999997","0","0","61","38179.699999999997","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"240","E2535","South Holland","SD",NA,"5642249","5945970","794049","846490","4848200","5099480","2386200","2447000","27692.9","28307.38","98.59","98.670393999999987","0","0","27302.400000000001","27931","206.66","212.88","177.57","182.57",0,"0","0","No","No","1292.4000000000001","241.38","0","0","1746.6600000000003","22","18734","0","0","22","18734","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"241","E2536","South Kesteven","SD",NA,"8783916","9192718","1637621","1717639","7146295","7475079","676112","636477","46460.3","47066.7","100","99.999990000000011","59","59","46519.3","47125.7","188.82","195.07","153.62","158.62",0,"0","0","No","No","1292.4000000000001","241.38","0","0","1728.85","83","36155","1","10970.7","72","46620","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"242","E0936","South Lakeland","SD",NA,"10241321","10596694","1612265","1692890","8629056","8903804","0","0","45723.199999999997","45973.2","99","99","0","0","45266","45513.5","226.25","232.83","190.63","195.63",0,"0","0","No","No","1385.28","256.68","0","0","1874.79","77","45513.5","0","0","61","44919.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"243","E2637","South Norfolk","SD",NA,"10654193","11223936","3577976","3842311","7076217","7381625","154603","166356","48746.5","49634.3","99","99","0","0","48259","49138","220.77","228.42","146.63","150.22",0,"0","0","No","No","1362.24","253.08","0","0","1843.74","118","49107","0","0","101","48702","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"244","E2836","South Northamptonshire","SD",NA,"9317759","9984940","2798646","3084222","6519113","6900718","0","0","35806.6","36523.599999999999","98","98.75","0","0","35090.5","36067.1","265.54000000000002","276.83999999999997","185.78","191.33",0,"0","0","No","No","1236.0999999999999","245.04","60.76","0","1818.7399999999998","78","36067.1","0","0","66","35374.699999999997","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"245","E3133","South Oxfordshire","SD",NA,"11393286","12030057","4864864","5144437","6528422","6885620","0","0","56661","57297.1","98","98","635.5","642.1","56163.3","56793.3","202.86","211.82","116.24","121.24",0,"0","0","No","No","1468.83","206.28","0","0","1886.9299999999998","86","56793.3","0","0","80","56582.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"246","E2342","South Ribble","SD",NA,"7992464","8230250","365053","397104","7627411","7833146","0","0","36266.1","36517.800000000003","98","98","0","0","35540.800000000003","35787.4","224.88","229.98","214.61","218.88",0,"0","0","No","No","1346.59","201.45","69.48","0","1847.5","7","15893.2","0","0","7","15893.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"247","E3334","South Somerset (R)","SD",NA,"14974982","15558389","5228082","5487326","9746900","10071063","0","0","60049.8","60335.5","99","99","539","534","59988.3","60266.1","249.63","258.16000000000003","162.47999999999999","167.11",0,"0","0","No","No","1239.73","217.81","86.52","0","1802.22","121","60266.07","0","0","108","59434.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"248","E3435","South Staffordshire","SD",NA,"6198082","6535974","2028882","2142658","4169200","4393316","0","0","38166.78","38474.879999999997","99","99","0","0","37785.1","38090.1","164.04","171.59","110.34","115.34",0,"0","0","No","No","1246.23","216.56","75.73","0","1710.11","27","38090.1","0","0","27","38090.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"249","E4504","South Tyneside","MD",NA,"57734434","60520870","0","0","57734434","60520870","8303409","8214377","39278.199999999997","39609.199999999997","97.5","97.5","0","0","38296.199999999997","38619","1507.58","1567.13","1507.58","1567.13",582211,"15.08","1.0002785921808461","No","No","0","134.33000000000001","82.33","0","1783.79","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"250","E1702","Southampton","UA",NA,"95934356","99745844","0","0","95934356","99745844","80399","83255","66062.399999999994","66693","97.399999999999991","97.399999999999991","0","0","64345","64959","1490.94","1535.52","1490.94","1535.52",0,"0","0","No","No","0","201.46","67.709999999999994","0","1804.69","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"251","E1501","Southend-on-Sea","UA",NA,"76621403","81177054","411692","421625","76209711","80755429","0","0","59393.3","60231.4","97","97","0","0","57611.5","58424.5","1329.97","1389.44","1322.82","1382.22",1159140,"19.84","1.4998261290273809","No","No","0","192.96","72.45","0","1654.8500000000001","1","8839.1","0","0","1","8839.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"252","E5019","Southwark","ILB",NA,"104446214","110531681","0","0","104446214","110531681","1972631.8019126025","1992926.7895653101","103790.1","106648.1","97.2","97.2","0","0","100884","103662","1035.31","1066.27","1035.31","1066.27",0,"0","0","No","No","320.51","0","0","0","1386.78","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"253","E3637","Spelthorne","SD",NA,"7755443","8034400","0","0","7755443","8034400","0","0","39280","39688","100","100","0","0","39280","39688","197.44","202.44","197.44","202.44",0,"0","0","No","No","1453.5","260.57","0","0","1916.51","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"254","E1936","St Albans","SD",NA,"13301280","13707553.297","2652469","2721393","10648811","10986160.297","0","0","62258.7","62734.6","99","99","0","0","61636.1","62107.3","215.8","220.71","172.77","176.89",0,"0","0","No","No","1359.94","188","0","0","1768.65","9","36950.5","0","0","9","36950.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"255","E4303","St Helens","MD",NA,"71313180","74530695","319189","323747","70993991","74206948","20772423","20752386","51700.4","52471.4","97.8","97.8","0","0","50563","51317","1410.38","1452.36","1404.07","1446.05",0,"0","0","No","No","0","201.97","78.84","19","1752.1699999999998","7","16062","0","0","7","16062","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"256","E3436","Stafford","SD",NA,"8145158.5800000001","8472226.5700000003","998210.76","1049299","7146947.8200000003","7422927.5700000003","0","0","46724.1","47634.11","98.625","98.625","511.7","512.4","46593.3","47491.5","174.81","178.39","153.38999999999999","156.30000000000001",0,"0","0","No","No","1246.23","216.56","75.73","0","1716.9099999999999","40","27789.3","0","0","39","27711.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"257","E3437","Staffordshire Moorlands","SD",NA,"6397526.4500000002","6659934.0999999996","1197936","1276454.1000000001","5199590.45","5383480","388220","402260","33320.199999999997","33524.82","98.7","98.7","0","0","32887","33089","194.53","201.27","158.1","162.69999999999999",0,"0","0","No","No","1246.23","216.56","75.73","0","1739.79","43","33089","0","0","43","33089","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"258","E1937","Stevenage","SD",NA,"5532344","5754911","0","0","5532344","5754911","0","0","27610.7","27816.7","98","98.25","0","0","27058.5","27329.9","204.46","210.57","204.46","210.57",0,"0","0","No","No","1359.94","188","0","0","1758.51","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"259","E4207","Stockport","MD",NA,"149164123","156122228","0","0","149164123","156122228","40885803","41936358","94782.9","96549.04","98.5","98.5","0","0","93361.2","95100.800000000003","1597.71","1641.65","1597.71","1641.65",1519711,"15.98","1.0001815097858811","No","No","0","198.3","0","76.95","1916.9","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"260","E0704","Stockton-on-Tees","UA",NA,"86123620","90013728","831506","870287","85292114","89143441","205000","203000","56229.3","57112.2","98.25","98.25","0","0","55245.3","56112.7","1558.93","1604.16","1543.88","1588.65",0,"0","0","No","No","0","250.54","77.36","0","1932.06","20","34324.300000000003","0","0","16","34091.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"261","E3401","Stoke-on-Trent","UA",NA,"80471570","84693089","0","0","80471570","84693089","72758","74655","65306","66191.899999999994","97.2","98","0","0","63477.4","64868.1","1267.72","1305.6199999999999","1267.72","1305.6199999999999",822346,"12.68","1.0002208689616003","No","No","0","216.56","75.73","0","1597.9099999999999","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"262","E3734","Stratford-on-Avon","SD",NA,"10694028","11175204","3226838","3407054","7467190","7768150","0","0","54618.51","55988.87","99.6","99.6","77.400000000000006","72.900000000000006","54477.4","55837.8","196.3","200.14","137.07","139.12",0,"0","0","No","No","1431.81","227.98","0","0","1859.9299999999998","109","55837.8","0","0","87","54891.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"263","E1635","Stroud","SD",NA,"12409515","13107147","3636345","3917819","8773170","9189328","0","0","43979.09","44728.94","99","99","0","0","43539.3","44281.7","285.02","295.99","201.5","207.52",0,"0","0","No","No","1293.7","250.49","0","0","1840.18","52","44281.7","0","0","50","44212.800000000003","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"264","E4505","Sunderland","MD",NA,"95201526","99562268","53661","54746","95147865","99507522","15506163","15288853","71056.899999999994","71460.899999999994","98.5","98.5","0","0","69991","70389","1360.2","1414.46","1359.43","1413.68",956586.51,"13.59","0.99968369095871057","No","No","0","134.33000000000001","82.33","0","1631.12","1","3786","0","0","1","3786","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"265","E3638","Surrey Heath","SD",NA,"8724277","9092478","569890","586499","8154387","8505979","180000","185000","37630.47","38161.1","98.5","98.5","474.6","465.7","37540.6","38054.400000000001","232.4","238.93","217.22","223.52",0,"0","0","No","No","1453.5","260.57","0","0","1953","4","13950.6","0","0","4","13950.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"266","E5048","Sutton","OLB",NA,"95177695","100625771","0","0","95177695","100625771","595582","592474","73471.8","73985.53","99","99","0","0","72737.100000000006","73245.7","1308.52","1373.81","1308.52","1373.81",1916840,"26.17","1.9999694311130134","No","No","320.51","0","0","0","1694.32","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"267","E2241","Swale","SD",NA,"9075331","9625157","1162817","1367403","7912514","8257754","802840","817111","47013.9","47774.05","99.1","99.1","0","0","46590.8","47344.1","194.79","203.3","169.83","174.42",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1773.63","41","31706.400000000001","0","0","36","31661.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"268","E3901","Swindon","UA",NA,"103329108","109861137","7560030","8039245","95769078","101821892","165449","169645","73913.2","75342","98.5","98.8","94.1","94.1","72898.600000000006","74532","1417.44","1474.01","1313.73","1366.15",979149,"13.14","1.0002055216825374","No","No","0","206.27","74.87","0","1755.15","20","74532","0","0","19","74484.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"269","E4208","Tameside","MD",NA,"86099000","91579000","31000","31000","86068000","91548000","30448619","31142150","63123.411","63578.32","96.5","98","0","0","60914.1","62306.8","1413.45","1469.81","1412.94","1469.31",880588,"14.13","1.0000424646481805","No","No","0","198.3","0","76.95","1745.06","1","3388.7","0","0","1","3388.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"270","E3439","Tamworth","SD",NA,"3681977","3849303","0","0","3681977","3849303","0","0","21898.2","22228","97.899999999999991","97.899999999999991","0","0","21438","21761","171.75","176.89","171.75","176.89",0,"0","0","No","No","1246.23","216.56","75.73","0","1715.4099999999999","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"271","E3639","Tandridge","SD",NA,"8825574","9195030","860724","936581","7964850","8258449","0","0","38248","38506.6","99.3","99.3","0","0","37980.300000000003","38237.1","232.37","240.47","209.71","215.98",0,"0","0","No","No","1453.5","260.57","0","0","1954.54","22","38237.1","0","0","21","38201.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"272","E1137","Teignbridge","SD",NA,"11245017","11805193","3221554","3429596","8023463","8375597","0","0","49066.1","49714.5","99","99","1.6","1.6","48577","49219","231.49","239.85","165.17","170.17",0,"0","0","No","No","1384.29","212.28","86.52","0","1922.9399999999998","50","49219","0","0","46","48974.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"273","E3201","Telford and the Wrekin","UA",NA,"66700482","70240919","4170414","4330037","62530068","65910882","58409","59807","49775.8","50853.2","99.25","99.25","177.3","168.5","49579.8","50640.3","1345.32","1387.06","1261.2","1301.55",1277148,"25.22","1.999682841738027","No","No","0","216.66","100.25","0","1703.97","29","50640.3","0","0","28","50601","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
