ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E2344,E07000128,Wyre,NW,SD,34588.9,35277.5,35784.800000000003,36270.300000000003,36857.699999999997,37300.5,36980.699999999997,38004.5,38495.6
E1839,E07000239,Wyre Forest,WM,SD,31814.1,32727.1,33034.1,33458,33750.9,33945,33780,34219.983500000002,34738
E2701,E06000014,York,YH,UA,62405.7,64199.199999999997,65570,66671.100000000006,67706.100000000006,67813.100000000006,67511.600000000006,68220.38,68633.1
E0521,E10000003,Cambridgeshire,EE,SC,213586.6,217164.1,220286.6,223622.3,227110,230927.6,231331,235811.9,240987
E6356,E47000008,Cambridgeshire and Peterborough Combined Authority,EE,CA,NA,NA,NA,0,0,0,0,0,302011.6
E1021,E10000007,Derbyshire,EM,SC,234033,237482.27,240854.95,244397.8,247261.1,251496.22,252407.08,257097.9,261141.2
E1121,E10000008,Devon,SW,SC,273072.86,277846.2,282682.2,287049.96000000002,290158.46000000002,293926.46999999997,291436.28000000003,296951.90000000002,300958.4
E1421,E10000011,East Sussex,SE,SC,188732.5,193810.54,195821.9,198634.98,200502,201655.6,201001.9,203532.3,205921.2
E1521,E10000012,Essex,EE,SC,496101,504544.7,513135.49,520198.7,528411.24,535809.49,535092.14,544924.5,550992.18
E1620,E10000013,Gloucestershire,SW,SC,211935.9,216673,220159.34,225246.6,230157.86,232999.75,233652.87,236503.47,239020.4
E1721,E10000014,Hampshire,SE,SC,486463,493532.24,500247.31,506638.41,514062.6,521048.98,523813.43,530659,535361.5
E1920,E10000015,Hertfordshire,EE,SC,422465,428884.7,436366.8,441495.5,447050,453039.9,450408.8,458445.5,464603
E2221,E10000016,Kent,SE,SC,503705.54,514473.3,526396.56000000006,537889.71,546394.81000000006,554625.61,548862.48,563284.9,571478.4
E2321,E10000017,Lancashire,NW,SC,342636.38,348980.09,355452.51,361822.64,366777.1,371092.2,370939.3,377198.7,383826.6
E2421,E10000018,Leicestershire,EM,SC,215288,219544.9,224404.06,229740.15,233421.4,237658.89,238827.8,242006.6,245307.9
E2520,E10000019,Lincolnshire,EM,SC,214843,219866.6,223033.4,225870,229587.20000000001,233009.8,233805.9,238592.2,241767.2
E6349,E47000004,Liverpool City Region Combined Authority,NW,CA,NA,NA,NA,0,405624,412268,408281.34,414831.8,424133
E2620,E10000020,Norfolk,EE,SC,271977.40000000002,278054.7,283919.8,289658.90000000002,295367.3,299472.90000000002,300664.48,304692.27,308568.8
E6358,E47000011,North of Tyne Mayoral Combined Authority,YH,CA,NA,NA,NA,NA,NA,0,0,0,0
E3021,E10000024,Nottinghamshire,EM,SC,236053.67,240537.74,244396.57,247294.1,250189.6,253120.10000000003,254884.46,259905.8,263692.4
E3120,E10000025,Oxfordshire,SE,SC,233884.2,238676.1,243806.8,246840.8,251264.5,256275.5,259329.8,263873.7,269115.6
E6350,E47000002,South Yorkshire Mayoral Combined Authority,YH,CA,NA,NA,NA,NA,0,0,0,0,0
E3421,E10000028,Staffordshire,WM,SC,266267,269943.59999999998,273798.59000000003,278008.09999999998,281712.13,286258.90000000002,285274.59999999998,289915,293766.6
E3520,E10000029,Suffolk,EE,SC,236274.8,240678.25,244318.62,247340.05,250334.58,254373.79,251711.25,259082.2,263055.3
E3620,E10000030,Surrey,SE,SC,481178.6,486835.00000000006,493276.17999999993,497512.52999999997,500992.5,506308.2,501947.2,510161.4,517004.1
E6355,E47000006,Tees Valley Combined Authority,NE,CA,NA,NA,NA,0,0,0,0,0,0
E3720,E10000031,Warwickshire,WM,SC,189320.09,193146.31,197226.85,201880.41,207376.6,210642.06,211067.8,215689.5,219304.2
E6346,E47000007,West Midlands Combined Authority,WM,CA,NA,NA,NA,0,0,0,0,0,0
E3820,E10000032,West Sussex,SE,SC,310490.09999999998,316473.8,322446.7,327809.59999999998,332430.7,337580.9,337276.4,342375,347199.8
E1821,E10000034,Worcestershire,WM,SC,196415.5,200450.6,204450.9,207473.3,209738.51,212905.31,212226.9,215743.6,217223.2
