"","region","name","value"
"97","EM","X7",0.0216420159732163
"98","EM","X8",0.0187432207877861
"99","EM","X1",0.0188645391902852
"100","EM","X2",0.0183390602679433
"101","EM","X3",0.0150220008675658
"102","EM","X4",0.0134760436006178
"103","EM","X5",0.0136564273255639
"104","EM","X7",0.0182286991403881
"105","EM","X8",0.0139605041588984
"106","EM","X1",0.0213101192167047
"107","EM","X2",0.0165297584815339
"108","EM","X3",0.0198832474566753
"109","EM","X4",0.0165348283125455
"110","EM","X5",0.0134514060032244
"111","EM","X7",0.0165312092336321
"112","EM","X8",0.0135232144334755
"113","EM","X1",0.0219806230719456
"114","EM","X2",0.0192218305468327
"115","EM","X3",0.0183442224663116
"116","EM","X4",0.0165915757868169
"117","EM","X5",0.0139215800302861
"118","EM","X7",0.0183747536667223
"119","EM","X8",0.0151071218452811
"120","EM","X1",0.021131495218143
"121","EM","X2",0.0197883949069637
"122","EM","X3",0.0190729822390486
"123","EM","X4",0.0166350320283731
"124","EM","X5",0.0141188625724166
"125","EM","X7",0.0232184697735676
"126","EM","X8",0.0109012617739569
"127","L","X1",0.0195706358907172
"128","L","X2",0.0182364628398305
"129","L","X3",0.0153678239638047
"130","L","X4",0.0158066974909462
"131","L","X5",0.0151714598999938
"132","L","X7",0.0195883618369337
"133","L","X8",0.0144234197105354
"134","L","X1",0.0214837409098878
"135","L","X2",0.0176116564451966
"136","L","X3",0.0163397509093313
"137","L","X4",0.0154650175673998
"138","L","X5",0.0158287513663222
"139","L","X7",0.0179445982632058
"140","L","X8",0.0149349923336561
"141","L","X1",0.0339023014347478
"142","L","X2",0.024355077504975
"143","L","X3",0.0237298523349122
"144","L","X4",0.0187805529359401
"145","L","X5",0.0158390439270729
"146","L","X7",0.0172845170561972
"147","L","X8",0.0159714164603893
"148","L","X1",0.0195956931576742
"149","L","X2",0.0166359690568092
"150","L","X3",0.0157430323730184
"151","L","X4",0.0135735485917726
"152","L","X5",0.01565385461285
"153","L","X7",0.0150764960870475
"154","L","X8",0.0146580147549688
"155","L","X1",0.0242095291366547
"156","L","X2",0.0190102429928385
"157","L","X3",0.0159541852444566
"158","L","X4",0.0177359777139018
"159","L","X5",0.0157699468846603
"160","L","X7",0.0216420159732163
"161","L","X8",0.0187432207877861
"162","L","X1",0.0188645391902852
"163","L","X2",0.0183390602679433
"164","L","X3",0.0150220008675658
"165","L","X4",0.0134760436006178
"166","L","X5",0.0136564273255639
"167","L","X7",0.0182286991403881
"168","L","X8",0.0139605041588984
"169","L","X1",0.0213101192167047
"170","L","X2",0.0165297584815339
"171","L","X3",0.0198832474566753
"172","L","X4",0.0165348283125455
"173","L","X5",0.0134514060032244
"174","L","X7",0.0165312092336321
"175","L","X8",0.0135232144334755
"176","L","X1",0.0219806230719456
"177","L","X2",0.0192218305468327
"178","L","X3",0.0183442224663116
"179","L","X4",0.0165915757868169
"180","L","X5",0.0139215800302861
"181","L","X7",0.0183747536667223
"182","L","X8",0.0151071218452811
"183","L","X1",0.021131495218143
"184","L","X2",0.0197883949069637
"185","L","X3",0.0190729822390486
"186","L","X4",0.0166350320283731
"187","L","X5",0.0141188625724166
"188","L","X7",0.0232184697735676
"189","L","X8",0.0109012617739569
"190","NE","X1",0.0195706358907172
"191","NE","X2",0.0182364628398305
"192","NE","X3",0.0153678239638047
"193","NE","X4",0.0158066974909462
"194","NE","X5",0.0151714598999938
"195","NE","X7",0.0195883618369337
"196","NE","X8",0.0144234197105354
"197","NE","X1",0.0214837409098878
"198","NE","X2",0.0176116564451966
"199","NE","X3",0.0163397509093313
"200","NE","X4",0.0154650175673998
"201","NE","X5",0.0158287513663222
"202","NE","X7",0.0179445982632058
"203","NE","X8",0.0149349923336561
"204","NE","X1",0.0339023014347478
"205","NE","X2",0.024355077504975
"206","NE","X3",0.0237298523349122
